raw_row_number,date,time,zipcode,zcta_race,district,subject_age,subject_race,subject_sex,officer_id_hash,department_name,type,arrest_made,citation_issued,warning_issued,outcome,contraband_found,search_conducted,search_vehicle,search_basis,reason_for_stop,raw_subject_race_code,raw_subject_ethnicity_code,raw_search_authorization_code,raw_intervention_disposition_code
1207,December,17:31:00,6106,hispanic_or_latino,SOUTH GREEN,57,white,male,ce747410a8,Hartford,vehicular,FALSE,FALSE,TRUE,warning,,FALSE,FALSE,,Traffic Control Signal,W,N,N,V
1182,December,20:47:00,6106,hispanic_or_latino,SOUTH GREEN,28,hispanic,male,64c45ad59f,Hartford,vehicular,FALSE,FALSE,FALSE,,,FALSE,FALSE,,Suspended License,W,H,N,M
1234,December,1:23:00,6106,hispanic_or_latino,FROG HOLLOW,20,hispanic,male,3013a5919f,Hartford,vehicular,FALSE,FALSE,FALSE,,,FALSE,FALSE,,Stop Sign,W,H,N,M
1248,December,5:10:00,6106,hispanic_or_latino,BEHIND THE ROCKS,85,white,female,09739d95d7,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Other,W,N,N,I
1253,December,5:52:00,6106,hispanic_or_latino,SHELDON-CHARTER OAK,38,hispanic,male,09739d95d7,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Registration,W,H,N,I
1269,December,6:45:00,6106,hispanic_or_latino,BEHIND THE ROCKS,50,hispanic,male,eeb3021e4a,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Other,W,H,N,I
1271,December,7:08:00,6106,hispanic_or_latino,BEHIND THE ROCKS,44,hispanic,male,eeb3021e4a,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Other,W,H,N,I
1249,December,7:22:00,6103,white,DOWNTOWN,60,white,female,09739d95d7,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Other,W,N,N,I
1258,December,7:30:00,6106,hispanic_or_latino,BEHIND THE ROCKS,36,hispanic,female,eeb3021e4a,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Other,W,H,N,I
1278,December,7:38:00,6105,white,ASYLUM HILL,39,white,female,09739d95d7,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Window Tint,W,N,N,I
1238,December,7:54:00,6106,hispanic_or_latino,BEHIND THE ROCKS,41,white,female,eeb3021e4a,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Other,W,N,N,I
1268,December,7:55:00,6120,black,CLAY-ARSENAL,27,black,female,d3be705adb,Hartford,vehicular,FALSE,FALSE,FALSE,,,FALSE,FALSE,,Other,B,N,N,M
1277,December,7:56:00,6112,black,ASYLUM HILL,37,black,male,09739d95d7,Hartford,vehicular,FALSE,FALSE,TRUE,warning,,FALSE,FALSE,,Window Tint,B,N,N,V
1247,December,8:14:00,6112,black,CLAY-ARSENAL,36,black,female,8d927f52b8,Hartford,vehicular,FALSE,FALSE,FALSE,,,FALSE,FALSE,,Suspended License,B,N,N,M
1260,December,8:26:00,6105,white,ASYLUM HILL,33,black,male,09739d95d7,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Other,B,N,N,I
1244,December,8:29:00,6106,hispanic_or_latino,BEHIND THE ROCKS,27,hispanic,female,eeb3021e4a,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Other,W,H,N,I
1229,December,8:45:00,6106,hispanic_or_latino,BEHIND THE ROCKS,27,white,male,eeb3021e4a,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Other,W,N,N,I
1270,December,9:10:00,6120,black,CLAY-ARSENAL,47,black,male,8d927f52b8,Hartford,vehicular,FALSE,FALSE,FALSE,,,FALSE,FALSE,,Other,B,N,N,M
1230,December,9:56:00,6103,white,DOWNTOWN,32,asian/pacific islander,male,d3be705adb,Hartford,vehicular,FALSE,FALSE,FALSE,,,FALSE,FALSE,,Other,A,N,N,M
1261,December,10:05:00,6106,hispanic_or_latino,BEHIND THE ROCKS,46,hispanic,female,eeb3021e4a,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Other,W,H,N,I
1264,December,10:10:00,6106,hispanic_or_latino,PARKVILLE,34,black,female,6f73b6b0a3,Hartford,vehicular,FALSE,FALSE,TRUE,warning,,FALSE,FALSE,,Display of Plates,B,N,N,V
1242,December,10:50:00,6120,black,CLAY-ARSENAL,40,hispanic,female,8d927f52b8,Hartford,vehicular,FALSE,FALSE,FALSE,,,FALSE,FALSE,,Suspended License,W,H,N,M
1231,December,11:22:00,6112,black,UPPER ALBANY,48,black,male,d3be705adb,Hartford,vehicular,FALSE,FALSE,FALSE,,,FALSE,FALSE,,Other,B,N,N,M
1241,December,11:36:00,6106,hispanic_or_latino,SOUTH GREEN,37,hispanic,female,81f290e452,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Cell Phone,W,H,N,I
1279,December,11:46:00,6105,white,ASYLUM HILL,27,black,female,bf93914299,Hartford,vehicular,FALSE,FALSE,TRUE,warning,,FALSE,FALSE,,Moving Violation,B,N,N,W
1239,December,12:00:00,6106,hispanic_or_latino,PARKVILLE,72,black,male,81f290e452,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Display of Plates,B,N,N,I
1266,December,12:20:00,6106,hispanic_or_latino,PARKVILLE,68,hispanic,male,81f290e452,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Cell Phone,W,H,N,I
1275,December,12:22:00,6106,hispanic_or_latino,DOWNTOWN,32,hispanic,female,8d927f52b8,Hartford,vehicular,FALSE,FALSE,FALSE,,,FALSE,FALSE,,Other,W,H,N,M
