ZCTA5,white,black,hispanic_or_latino
934,0.179,0.821,0
1009,1,0,0
1066,1,0,0
1074,1,0,0
1082,0.952,0.007,0.041
1226,0.968,0.003,0.029
1229,0.922,0,0.078
1244,1,0,0
1260,1,0,0
1264,1,0,0
1338,1,0,0
1343,1,0,0
1347,1,0,0
1366,0.976,0.007,0.017
1438,0.998,0.002,0
1462,0.926,0.025,0.049
1507,0.978,0.006,0.016
1525,1,0,0
1562,0.95,0.008,0.042
2047,1,0,0
2130,0.654,0.119,0.227
2553,1,0,0
2561,1,0,0
2584,1,0,0
2630,0.98,0.02,0
2631,0.975,0.009,0.016
2633,0.922,0.05,0.028
2637,1,0,0
2641,1,0,0
2643,1,0,0
2647,1,0,0
2651,1,0,0
2663,1,0,0
2669,0.765,0.235,0
2671,0.972,0,0.028
2713,1,0,0
2791,1,0,0
2802,0.93,0,0.07
2804,1,0,0
2826,1,0,0
2836,1,0,0
2872,1,0,0
2873,1,0,0
3218,1,0,0
3231,1,0,0
3253,0.969,0.005,0.026
3259,0.918,0.082,0
3273,0.983,0.017,0
3280,0.963,0.014,0.023
3290,0.99,0.004,0.006
3291,1,0,0
3293,1,0,0
3443,1,0,0
3575,0.841,0.159,0
3579,0.995,0,0.005
3604,1,0,0
3750,0.987,0,0.013
3765,1,0,0
3810,0.999,0,0.001
3817,1,0,0
3838,1,0,0
3845,1,0,0
3847,1,0,0
3850,1,0,0
3853,1,0,0
3855,0.996,0,0.004
3871,1,0,0
3882,1,0,0
3883,1,0,0
3906,0.974,0.007,0.019
3907,1,0,0
3910,1,0,0
3911,1,0,0
4024,0.995,0.005,0
4027,1,0,0
4030,0.992,0.008,0
4216,1,0,0
4226,0.986,0,0.014
4227,1,0,0
4228,1,0,0
4234,1,0,0
4237,1,0,0
4259,0.96,0,0.04
4267,1,0,0
4284,1,0,0
4286,1,0,0
4343,1,0,0
4359,0.852,0,0.148
4408,0.99,0,0.01
4415,1,0,0
4431,1,0,0
4435,0.934,0,0.066
4442,1,0,0
4454,1,0,0
4462,0.96,0,0.04
4488,0.998,0,0.002
4489,1,0,0
4541,1,0,0
4543,0.982,0.005,0.013
4548,0.978,0.014,0.008
4558,1,0,0
4571,1,0,0
4576,1,0,0
4607,0.995,0.005,0
4612,1,0,0
4613,1,0,0
4629,1,0,0
4635,1,0,0
4642,1,0,0
4650,1,0,0
4669,1,0,0
4673,0.97,0.03,0
4683,1,0,0
